"","type","pct","crime","crimes_count"
"197","misdemeanor_offenses","19","OTHER MISDEMEANORS (8)",356
"199","misdemeanor_offenses","20","MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ",11
"200","misdemeanor_offenses","20","MISDEMEANOR SEX CRIMES (4)",31
"201","misdemeanor_offenses","20","MISDEMEANOR DANGEROUS DRUGS  (1)",67
"202","misdemeanor_offenses","20","MISDEMEANOR DANGEROUS WEAPONS (5)               ",17
"203","misdemeanor_offenses","20","PETIT LARCENY                         ",1171
"204","misdemeanor_offenses","20","ASSAULT 3 AND RELATED OFFENSES        ",192
"205","misdemeanor_offenses","20","INTOXICATED & IMPAIRED DRIVING              ",6
"206","misdemeanor_offenses","20","VEHICLE AND TRAFFIC LAWS              ",28
"207","misdemeanor_offenses","20","MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ",288
"208","misdemeanor_offenses","20","CRIMINAL TRESPASS",67
"209","misdemeanor_offenses","20","UNAUTHORIZED USE OF A VEHICLE           ",6
"210","misdemeanor_offenses","20","OFFENSES AGAINST THE PERSON (7)      ",4
"211","misdemeanor_offenses","20","OFFENSES AGAINST PUBLIC ADMINISTRATION (2)",53
"212","misdemeanor_offenses","20","ADMINISTRATIVE CODE (6)            ",0
"213","misdemeanor_offenses","20","FRAUDS (3)                    ",158
"214","misdemeanor_offenses","20","AGGRAVATED HARASSMENT 2               ",127
"215","misdemeanor_offenses","20","OTHER MISDEMEANORS (8)",241
"217","misdemeanor_offenses","22","MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ",2
"218","misdemeanor_offenses","22","MISDEMEANOR SEX CRIMES (4)",4
"219","misdemeanor_offenses","22","MISDEMEANOR DANGEROUS DRUGS  (1)",103
"220","misdemeanor_offenses","22","MISDEMEANOR DANGEROUS WEAPONS (5)               ",4
"221","misdemeanor_offenses","22","PETIT LARCENY                         ",90
"222","misdemeanor_offenses","22","ASSAULT 3 AND RELATED OFFENSES        ",20
"223","misdemeanor_offenses","22","INTOXICATED & IMPAIRED DRIVING              ",3
"224","misdemeanor_offenses","22","VEHICLE AND TRAFFIC LAWS              ",6
"225","misdemeanor_offenses","22","MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ",31
"226","misdemeanor_offenses","22","CRIMINAL TRESPASS",1
"227","misdemeanor_offenses","22","UNAUTHORIZED USE OF A VEHICLE           ",0
"228","misdemeanor_offenses","22","OFFENSES AGAINST THE PERSON (7)      ",1
"229","misdemeanor_offenses","22","OFFENSES AGAINST PUBLIC ADMINISTRATION (2)",7
"230","misdemeanor_offenses","22","ADMINISTRATIVE CODE (6)            ",2
"231","misdemeanor_offenses","22","FRAUDS (3)                    ",0
"232","misdemeanor_offenses","22","AGGRAVATED HARASSMENT 2               ",2
"233","misdemeanor_offenses","22","OTHER MISDEMEANORS (8)",51
"235","misdemeanor_offenses","23","MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ",20
"236","misdemeanor_offenses","23","MISDEMEANOR SEX CRIMES (4)",40
"237","misdemeanor_offenses","23","MISDEMEANOR DANGEROUS DRUGS  (1)",952
"238","misdemeanor_offenses","23","MISDEMEANOR DANGEROUS WEAPONS (5)               ",136
"239","misdemeanor_offenses","23","PETIT LARCENY                         ",688
"240","misdemeanor_offenses","23","ASSAULT 3 AND RELATED OFFENSES        ",669
"241","misdemeanor_offenses","23","INTOXICATED & IMPAIRED DRIVING              ",44
"242","misdemeanor_offenses","23","VEHICLE AND TRAFFIC LAWS              ",37
"243","misdemeanor_offenses","23","MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ",607
"244","misdemeanor_offenses","23","CRIMINAL TRESPASS",385
"245","misdemeanor_offenses","23","UNAUTHORIZED USE OF A VEHICLE           ",9
"246","misdemeanor_offenses","23","OFFENSES AGAINST THE PERSON (7)      ",19
"247","misdemeanor_offenses","23","OFFENSES AGAINST PUBLIC ADMINISTRATION (2)",212
"248","misdemeanor_offenses","23","ADMINISTRATIVE CODE (6)            ",10
"249","misdemeanor_offenses","23","FRAUDS (3)                    ",49
"250","misdemeanor_offenses","23","AGGRAVATED HARASSMENT 2               ",301
"251","misdemeanor_offenses","23","OTHER MISDEMEANORS (8)",566
"253","misdemeanor_offenses","24","MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ",6
"254","misdemeanor_offenses","24","MISDEMEANOR SEX CRIMES (4)",23
"255","misdemeanor_offenses","24","MISDEMEANOR DANGEROUS DRUGS  (1)",324
"256","misdemeanor_offenses","24","MISDEMEANOR DANGEROUS WEAPONS (5)               ",45
"257","misdemeanor_offenses","24","PETIT LARCENY                         ",1094
"258","misdemeanor_offenses","24","ASSAULT 3 AND RELATED OFFENSES        ",282
"259","misdemeanor_offenses","24","INTOXICATED & IMPAIRED DRIVING              ",19
"260","misdemeanor_offenses","24","VEHICLE AND TRAFFIC LAWS              ",28
"261","misdemeanor_offenses","24","MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ",494
"262","misdemeanor_offenses","24","CRIMINAL TRESPASS",128
"263","misdemeanor_offenses","24","UNAUTHORIZED USE OF A VEHICLE           ",9
"264","misdemeanor_offenses","24","OFFENSES AGAINST THE PERSON (7)      ",9
"265","misdemeanor_offenses","24","OFFENSES AGAINST PUBLIC ADMINISTRATION (2)",86
"266","misdemeanor_offenses","24","ADMINISTRATIVE CODE (6)            ",4
"267","misdemeanor_offenses","24","FRAUDS (3)                    ",65
"268","misdemeanor_offenses","24","AGGRAVATED HARASSMENT 2               ",124
"269","misdemeanor_offenses","24","OTHER MISDEMEANORS (8)",338
"271","misdemeanor_offenses","25","MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ",31
"272","misdemeanor_offenses","25","MISDEMEANOR SEX CRIMES (4)",55
"273","misdemeanor_offenses","25","MISDEMEANOR DANGEROUS DRUGS  (1)",1366
"274","misdemeanor_offenses","25","MISDEMEANOR DANGEROUS WEAPONS (5)               ",139
"275","misdemeanor_offenses","25","PETIT LARCENY                         ",1018
"276","misdemeanor_offenses","25","ASSAULT 3 AND RELATED OFFENSES        ",520
"277","misdemeanor_offenses","25","INTOXICATED & IMPAIRED DRIVING              ",64
"278","misdemeanor_offenses","25","VEHICLE AND TRAFFIC LAWS              ",72
"279","misdemeanor_offenses","25","MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ",953
"280","misdemeanor_offenses","25","CRIMINAL TRESPASS",198
"281","misdemeanor_offenses","25","UNAUTHORIZED USE OF A VEHICLE           ",12
"282","misdemeanor_offenses","25","OFFENSES AGAINST THE PERSON (7)      ",27
"283","misdemeanor_offenses","25","OFFENSES AGAINST PUBLIC ADMINISTRATION (2)",192
"284","misdemeanor_offenses","25","ADMINISTRATIVE CODE (6)            ",7
"285","misdemeanor_offenses","25","FRAUDS (3)                    ",58
"286","misdemeanor_offenses","25","AGGRAVATED HARASSMENT 2               ",296
"287","misdemeanor_offenses","25","OTHER MISDEMEANORS (8)",1306
"289","misdemeanor_offenses","26","MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ",7
"290","misdemeanor_offenses","26","MISDEMEANOR SEX CRIMES (4)",27
"291","misdemeanor_offenses","26","MISDEMEANOR DANGEROUS DRUGS  (1)",268
"292","misdemeanor_offenses","26","MISDEMEANOR DANGEROUS WEAPONS (5)               ",28
"293","misdemeanor_offenses","26","PETIT LARCENY                         ",407
"294","misdemeanor_offenses","26","ASSAULT 3 AND RELATED OFFENSES        ",227
"295","misdemeanor_offenses","26","INTOXICATED & IMPAIRED DRIVING              ",17
"296","misdemeanor_offenses","26","VEHICLE AND TRAFFIC LAWS              ",17
"297","misdemeanor_offenses","26","MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ",331
"298","misdemeanor_offenses","26","CRIMINAL TRESPASS",65
"299","misdemeanor_offenses","26","UNAUTHORIZED USE OF A VEHICLE           ",4
"300","misdemeanor_offenses","26","OFFENSES AGAINST THE PERSON (7)      ",17
"301","misdemeanor_offenses","26","OFFENSES AGAINST PUBLIC ADMINISTRATION (2)",89
"302","misdemeanor_offenses","26","ADMINISTRATIVE CODE (6)            ",3
"303","misdemeanor_offenses","26","FRAUDS (3)                    ",19
"304","misdemeanor_offenses","26","AGGRAVATED HARASSMENT 2               ",153
"305","misdemeanor_offenses","26","OTHER MISDEMEANORS (8)",528
"307","misdemeanor_offenses","28","MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ",11
"308","misdemeanor_offenses","28","MISDEMEANOR SEX CRIMES (4)",28
"309","misdemeanor_offenses","28","MISDEMEANOR DANGEROUS DRUGS  (1)",744
"310","misdemeanor_offenses","28","MISDEMEANOR DANGEROUS WEAPONS (5)               ",43
"311","misdemeanor_offenses","28","PETIT LARCENY                         ",1029
"312","misdemeanor_offenses","28","ASSAULT 3 AND RELATED OFFENSES        ",404
"313","misdemeanor_offenses","28","INTOXICATED & IMPAIRED DRIVING              ",30
"314","misdemeanor_offenses","28","VEHICLE AND TRAFFIC LAWS              ",28
"315","misdemeanor_offenses","28","MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ",355
"316","misdemeanor_offenses","28","CRIMINAL TRESPASS",125
"317","misdemeanor_offenses","28","UNAUTHORIZED USE OF A VEHICLE           ",5
"318","misdemeanor_offenses","28","OFFENSES AGAINST THE PERSON (7)      ",12
"319","misdemeanor_offenses","28","OFFENSES AGAINST PUBLIC ADMINISTRATION (2)",161
"320","misdemeanor_offenses","28","ADMINISTRATIVE CODE (6)            ",4
"321","misdemeanor_offenses","28","FRAUDS (3)                    ",19
"322","misdemeanor_offenses","28","AGGRAVATED HARASSMENT 2               ",185
"323","misdemeanor_offenses","28","OTHER MISDEMEANORS (8)",813
"325","misdemeanor_offenses","30","MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ",13
"326","misdemeanor_offenses","30","MISDEMEANOR SEX CRIMES (4)",24
"327","misdemeanor_offenses","30","MISDEMEANOR DANGEROUS DRUGS  (1)",738
"328","misdemeanor_offenses","30","MISDEMEANOR DANGEROUS WEAPONS (5)               ",79
"329","misdemeanor_offenses","30","PETIT LARCENY                         ",447
"330","misdemeanor_offenses","30","ASSAULT 3 AND RELATED OFFENSES        ",399
"331","misdemeanor_offenses","30","INTOXICATED & IMPAIRED DRIVING              ",74
"332","misdemeanor_offenses","30","VEHICLE AND TRAFFIC LAWS              ",97
"333","misdemeanor_offenses","30","MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ",423
"334","misdemeanor_offenses","30","CRIMINAL TRESPASS",101
"335","misdemeanor_offenses","30","UNAUTHORIZED USE OF A VEHICLE           ",11
"336","misdemeanor_offenses","30","OFFENSES AGAINST THE PERSON (7)      ",16
"337","misdemeanor_offenses","30","OFFENSES AGAINST PUBLIC ADMINISTRATION (2)",118
"338","misdemeanor_offenses","30","ADMINISTRATIVE CODE (6)            ",7
"339","misdemeanor_offenses","30","FRAUDS (3)                    ",46
"340","misdemeanor_offenses","30","AGGRAVATED HARASSMENT 2               ",134
"341","misdemeanor_offenses","30","OTHER MISDEMEANORS (8)",714
"343","misdemeanor_offenses","32","MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ",9
"344","misdemeanor_offenses","32","MISDEMEANOR SEX CRIMES (4)",25
"345","misdemeanor_offenses","32","MISDEMEANOR DANGEROUS DRUGS  (1)",822
"346","misdemeanor_offenses","32","MISDEMEANOR DANGEROUS WEAPONS (5)               ",86
"347","misdemeanor_offenses","32","PETIT LARCENY                         ",716
"348","misdemeanor_offenses","32","ASSAULT 3 AND RELATED OFFENSES        ",702
"349","misdemeanor_offenses","32","INTOXICATED & IMPAIRED DRIVING              ",37
"350","misdemeanor_offenses","32","VEHICLE AND TRAFFIC LAWS              ",57
"351","misdemeanor_offenses","32","MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ",520
"352","misdemeanor_offenses","32","CRIMINAL TRESPASS",249
"353","misdemeanor_offenses","32","UNAUTHORIZED USE OF A VEHICLE           ",9
"354","misdemeanor_offenses","32","OFFENSES AGAINST THE PERSON (7)      ",12
"355","misdemeanor_offenses","32","OFFENSES AGAINST PUBLIC ADMINISTRATION (2)",252
"356","misdemeanor_offenses","32","ADMINISTRATIVE CODE (6)            ",12
"357","misdemeanor_offenses","32","FRAUDS (3)                    ",68
"358","misdemeanor_offenses","32","AGGRAVATED HARASSMENT 2               ",298
"359","misdemeanor_offenses","32","OTHER MISDEMEANORS (8)",674
"361","misdemeanor_offenses","33","MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ",6
"362","misdemeanor_offenses","33","MISDEMEANOR SEX CRIMES (4)",29
"363","misdemeanor_offenses","33","MISDEMEANOR DANGEROUS DRUGS  (1)",792
