"","xcoord","ycoord","pforce"
"1369",1022555,259849,1
"1370",1008539,259911,1
"1372",1022066,260003,2
"1375",1023563,260040,1
"1379",1032117,260155,1
"1381",1016476,260192,1
"1382",1022992,260281,1
"1384",1032047,260313,1
"1388",1025423,260470,1
"1391",1011122,260515,1
"1392",1023777,260554,2
"1393",1021485,260564,1
"1396",1021971,260705,1
"1397",1011281,260827,4
"1400",1022979,260887,4
"1401",1024831,261020,1
"1403",1016550,261104,1
"1408",1026430,261196,1
"1409",1025801,261217,1
"1410",1022187,261218,2
"1413",1023463,261291,2
"1415",1026697,261377,1
"1417",1026040,261410,2
"1422",1026413,261527,2
"1423",1022782,261576,1
"1424",1022757,261580,2
"1425",1022655,261622,1
"1426",1032194,261627,2
"1436",1017607,261810,1
"1437",1021234,261812,3
"1441",1026815,261916,2
"1442",1026834,261958,1
"1444",1027383,261982,5
"1445",1022508,261990,1
"1448",1024422,262096,1
"1449",1031838,262101,1
"1451",1027154,262130,1
"1452",1027164,262131,1
"1453",1025062,262134,2
"1454",1026274,262148,1
"1456",1027094,262171,1
"1457",1023518,262173,1
"1459",1026305,262216,1
"1461",1027007,262220,2
"1464",1026927,262254,1
"1465",1026897,262273,2
"1468",1026815,262308,1
"1469",1021715,262322,1
"1472",1026555,262417,1
"1475",1023626,262429,1
"1481",1027129,262567,1
"1483",1023258,262579,1
"1485",1028068,262584,1
"1486",1026937,262597,1
"1487",1028062,262605,1
"1488",1024637,262611,1
"1489",1022451,262619,1
"1490",1023133,262631,1
"1491",1022380,262643,2
"1494",1028037,262690,1
"1496",1026541,262718,2
"1497",1022835,262759,2
"1500",1021929,262836,1
"1505",1030611,262929,2
"1507",1027949,263005,2
"1508",1022937,263018,1
"1509",1028198,263042,1
"1510",1022956,263056,1
"1511",1028980,263076,1
"1513",1023472,263095,1
"1514",1027115,263151,1
"1518",1023199,263210,1
"1525",1028007,263698,1
"1526",1027202,263734,1
"1528",1025175,263899,1
"1531",1022463,264124,1
"1532",1023090,264164,1
"1533",1028387,264188,1
"1535",1025921,264524,2
"1538",1022884,265132,1
"1539",1024381,265139,1
"1540",1026828,265933,2
"1541",1027073,266004,2
"1542",1027332,266080,1
"1543",1028043,266287,1
"1545",1026919,266544,1
"1546",1025582,266579,3
"1547",1024530,266641,3
"1548",1023908,266726,1
"1549",1024229,266796,2
"1550",1027060,267011,1
"1551",1023783,267024,1
"1552",1027526,267147,2
"1553",1021510,267159,2
"1554",1024887,267203,1
"1555",1023332,267253,1
"1556",1023783,267503,1
"1557",1026624,267514,1
"1559",1024155,267642,1
"1562",1024834,267794,3
"1563",1026968,267880,4
"1564",1025287,267952,1
"1569",1026269,268394,1
"1571",1025621,268476,5
"1572",1025333,268625,1
"1576",1027085,268915,2
"1577",1024564,269092,2
"1578",1026402,269112,1
"1579",1025882,269298,1
"1580",1026202,269448,2
"1583",1012846,269924,1
"1584",1012377,269947,1
