"","pct","xcoord","ycoord","pforce"
"360",41,1012235,237507,0
"361",40,1004369,237509,2
"362",44,1004369,237509,1
"363",43,1020871,237522,0
"364",41,1011922,237529,3
"365",43,1020979,237540,0
"366",41,1014927,237541,1
"367",41,1015167,237586,0
"368",41,1014592,237589,0
"369",43,1025717,237597,1
"370",43,1025740,237607,1
"371",41,1015354,237626,1
"372",40,1007362,237628,0
"373",41,1014625,237628,0
"374",45,1033224,237632,0
"375",41,1013013,237638,1
"376",41,1014066,237641,0
"377",40,1006814,237645,0
"378",41,1015532,237659,2
"379",41,1015610,237678,0
"380",40,1008072,237702,4
"381",40,1007898,237708,1
"382",40,1009118,237708,0
"383",45,1033398,237708,0
"384",43,1020990,237722,0
"385",40,1007056,237732,1
"386",40,1011259,237768,1
"387",43,1026706,237776,4
"388",41,1016120,237780,0
"389",40,1009006,237800,1
"390",43,1026888,237809,0
"391",43,1026925,237810,0
"392",41,1013847,237812,1
"393",41,1014776,237838,2
"394",44,1004489,237844,1
"395",40,1009288,237859,0
"396",40,1010360,237860,0
"397",41,1015574,237866,4
"398",40,1008739,237873,1
"399",41,1015571,237881,2
"400",41,1015293,237892,0
"401",43,1026283,237895,1
"402",43,1018536,237915,0
"403",43,1020691,237916,0
"404",40,1011485,237929,0
"405",41,1011485,237929,1
"406",40,1006908,237935,12
"407",40,1006476,237941,7
"408",41,1015559,237942,0
"409",40,1007981,237945,0
"410",41,1011518,237946,0
"411",40,1008563,237960,1
"412",40,1006346,237986,6
"413",43,1026259,237993,1
"414",41,1014000,238004,2
"415",41,1012618,238010,1
"416",41,1012231,238012,0
"417",41,1015007,238046,1
"418",40,1006150,238054,2
"419",41,1013003,238059,0
"420",41,1012225,238060,0
"421",41,1013695,238085,8
"422",41,1014062,238085,1
"423",40,1008312,238086,0
"424",41,1013013,238095,1
"425",41,1013024,238107,0
"426",40,1005984,238108,0
"427",40,1009535,238123,0
"428",45,1034348,238134,1
"429",40,1009491,238137,1
"430",43,1018497,238147,2
"431",41,1013041,238156,1
"432",41,1014468,238156,7
"433",43,1024484,238168,0
"434",43,1024755,238220,1
"435",41,1015223,238229,2
"436",40,1007887,238238,1
"437",45,1034600,238253,0
"438",43,1026217,238260,1
"439",40,1008695,238265,1
"440",41,1013849,238288,1
"441",41,1013068,238289,1
"442",40,1007592,238302,1
"443",45,1033017,238345,0
"444",45,1033058,238363,0
"445",40,1006078,238373,0
"446",45,1033079,238373,0
"447",43,1025698,238382,2
"448",41,1014632,238397,0
"449",41,1013910,238398,5
"450",41,1014249,238403,0
"451",41,1013068,238404,3
"452",43,1025819,238404,3
"453",45,1033132,238404,0
"454",41,1012788,238406,0
"455",41,1012519,238408,2
"456",41,1012855,238409,0
"457",41,1015458,238417,1
"458",43,1016836,238430,1
"459",41,1012223,238431,1
"460",41,1014248,238443,0
"461",41,1014247,238457,1
"462",41,1012785,238467,2
"463",41,1015707,238467,0
"464",40,1009185,238490,1
"465",43,1021357,238494,4
"466",40,1007107,238501,0
"467",41,1014236,238502,0
"468",41,1012005,238504,0
"469",40,1009077,238515,0
"470",42,1010619,238527,0
"471",41,1012792,238528,1
"472",43,1022059,238537,0
"473",40,1006928,238560,4
"474",43,1021308,238560,2
"475",41,1016185,238561,5
"476",40,1010474,238567,0
"477",42,1010447,238582,4
"478",43,1025282,238585,2
"479",40,1006866,238587,1
"480",41,1012792,238590,0
"481",41,1014233,238591,2
"482",41,1014621,238595,2
"483",40,1006833,238599,0
"484",41,1011693,238602,0
"485",40,1010361,238606,1
"486",41,1012224,238617,0
"487",40,1006750,238621,4
"488",40,1008578,238622,0
"489",41,1012519,238624,0
"490",41,1011706,238632,1
"491",41,1013067,238633,1
"492",40,1007726,238645,3
"493",41,1012562,238650,1
"494",40,1006663,238657,1
"495",40,1006640,238659,2
"496",42,1010140,238664,0
"497",40,1007743,238679,0
"498",41,1013073,238686,1
"499",43,1025832,238687,0
"500",41,1014615,238697,1
"501",43,1022145,238701,1
"502",40,1006528,238704,2
"503",45,1033797,238707,1
"504",40,1006494,238716,1
"505",42,1010961,238721,4
"506",41,1012653,238722,1
"507",40,1007197,238731,9
"508",45,1032210,238735,3
"509",43,1026128,238737,0
"510",41,1014605,238742,6
"511",40,1009872,238747,0
"512",41,1013903,238747,1
"513",41,1015129,238749,2
"514",41,1013897,238753,0
"515",41,1012225,238755,1
"516",45,1033946,238773,1
"517",43,1023479,238790,0
"518",41,1014602,238799,0
"519",41,1014608,238799,0
"520",41,1011758,238809,0
"521",42,1011758,238809,0
"522",41,1012791,238814,4
"523",42,1009597,238833,0
"524",40,1007244,238841,1
"525",41,1013896,238844,0
"526",43,1024059,238892,0
"527",43,1025658,238893,2
"528",41,1013901,238905,2
"529",40,1006451,238923,7
"530",43,1021022,238928,0
"531",44,1004478,238929,1
"532",40,1007280,238934,1
"533",41,1015830,238936,0
"534",41,1012985,238946,0
"535",42,1008390,239003,1
"536",44,1006375,239008,0
"537",41,1014209,239017,1
"538",42,1009653,239020,0
"539",44,1006566,239029,1
"540",42,1011058,239029,0
"541",45,1032673,239035,0
"542",42,1008753,239042,1
"543",41,1012796,239053,0
"544",42,1011416,239063,0
"545",45,1033560,239065,1
"546",40,1007341,239067,1
"547",42,1010896,239083,2
"548",40,1006650,239092,3
"549",43,1025190,239097,0
"550",43,1022071,239100,1
"551",42,1010796,239108,1
"552",45,1032801,239119,1
"553",45,1032812,239126,0
"554",42,1010687,239143,2
"555",43,1020849,239143,1
"556",41,1014199,239165,4
"557",41,1012791,239170,0
"558",43,1021003,239176,1
"559",41,1014378,239180,2
"560",44,1004319,239189,1
"561",41,1014653,239198,0
"562",40,1006999,239205,7
"563",43,1021156,239206,0
"564",41,1014837,239207,1
"565",43,1021178,239210,0
"566",41,1012235,239212,0
"567",42,1011121,239219,0
"568",42,1011115,239221,1
"569",43,1024295,239221,0
"570",41,1015096,239225,0
"571",43,1021341,239232,1
"572",42,1011889,239235,0
"573",41,1015356,239242,1
"574",41,1012117,239245,4
"575",43,1021433,239248,0
"576",42,1010340,239255,1
"577",43,1021492,239265,1
"578",42,1011131,239272,0
