"","xcoord","ycoord","pforce"
"166",1007097,236856,14
"167",1011730,236862,1
"168",1033190,236863,2
"169",1008715,236871,1
"170",1015505,236876,3
"171",1009935,236881,3
"172",1015222,236887,2
"173",1006150,236909,1
"174",1015721,236922,3
"175",1015760,236927,2
"176",1026406,236930,2
"177",1011173,236934,4
"178",1015862,236951,2
"179",1015192,236953,1
"180",1016015,236979,2
"181",1026699,236982,2
"182",1014135,236990,1
"183",1012582,237004,1
"184",1021385,237016,1
"185",1010531,237018,4
"186",1010146,237049,3
"187",1010528,237067,3
"188",1008779,237080,1
"189",1005630,237083,4
"190",1033677,237089,2
"191",1010322,237186,1
"192",1012339,237198,1
"193",1005243,237211,1
"194",1005251,237214,1
"195",1015069,237227,1
"196",1013413,237253,1
"197",1009408,237258,2
"198",1013777,237270,1
"199",1015297,237270,1
"200",1013490,237351,1
"201",1014420,237363,1
"202",1010102,237402,1
"203",1007207,237413,1
"204",1015921,237431,1
"205",1009957,237442,2
"206",1026355,237456,1
"207",1006994,237486,1
"208",1026355,237490,2
"209",1006977,237492,1
"210",1006767,237505,1
"211",1009763,237506,1
"212",1004369,237509,3
"213",1011922,237529,3
"214",1014927,237541,1
"215",1025717,237597,1
"216",1025740,237607,1
"217",1015354,237626,1
"218",1013013,237638,1
"219",1015532,237659,2
"220",1008072,237702,4
"221",1007898,237708,1
"222",1007056,237732,1
"223",1011259,237768,1
"224",1026706,237776,4
"225",1009006,237800,1
"226",1013847,237812,1
"227",1014776,237838,2
"228",1004489,237844,1
"229",1015574,237866,4
"230",1008739,237873,1
"231",1015571,237881,2
"232",1026283,237895,1
"233",1011485,237929,1
"234",1006908,237935,12
"235",1006476,237941,7
"236",1008563,237960,1
"237",1006346,237986,6
"238",1026259,237993,1
"239",1014000,238004,2
"240",1012618,238010,1
"241",1015007,238046,1
"242",1006150,238054,2
"243",1013695,238085,8
"244",1014062,238085,1
"245",1013013,238095,1
"246",1034348,238134,1
"247",1009491,238137,1
"248",1018497,238147,2
"249",1013041,238156,1
"250",1014468,238156,7
"251",1024755,238220,1
"252",1015223,238229,2
"253",1007887,238238,1
"254",1026217,238260,1
"255",1008695,238265,1
"256",1013849,238288,1
"257",1013068,238289,1
"258",1007592,238302,1
"259",1025698,238382,2
