type,PCT,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
misdemeanor_offenses,14,ADMINISTRATIVE CODE (6)            ,10,8,7,3,2,4,4,3,5,4,0,4,2,1,0,2
misdemeanor_offenses,14,FRAUDS (3)                    ,313,274,211,160,210,172,203,163,108,124,147,217,148,146,157,138
misdemeanor_offenses,14,AGGRAVATED HARASSMENT 2               ,572,625,522,475,515,519,410,416,378,368,318,293,324,267,201,213
misdemeanor_offenses,14,OTHER MISDEMEANORS (8),2774,2307,2114,2565,2374,1694,2238,2938,2974,2469,2452,2205,2324,2799,3490,3090
misdemeanor_offenses,14,TOTAL MISDEMEANOR OFFENSES,12721,11469,11416,10361,9840,8615,9743,10784,10453,10639,10614,10036,9856,10483,10621,9554
misdemeanor_offenses,17,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,2,2,2,9,13,14,7,1,4,7,11,37,24,3,4,5
misdemeanor_offenses,17,MISDEMEANOR SEX CRIMES (4),47,47,28,31,33,27,39,41,48,46,49,47,29,42,48,59
misdemeanor_offenses,17,MISDEMEANOR DANGEROUS DRUGS  (1),67,40,105,131,197,114,66,53,45,37,70,110,151,145,92,82
misdemeanor_offenses,17,MISDEMEANOR DANGEROUS WEAPONS (5)               ,9,7,8,13,8,5,13,16,13,12,14,14,15,12,22,19
misdemeanor_offenses,17,PETIT LARCENY                         ,1154,1193,897,754,644,681,713,697,724,686,629,645,745,823,657,597
misdemeanor_offenses,17,ASSAULT 3 AND RELATED OFFENSES        ,274,271,273,284,261,301,238,266,271,254,241,258,303,236,262,207
misdemeanor_offenses,17,INTOXICATED & IMPAIRED DRIVING              ,23,35,10,54,67,82,101,156,110,64,43,36,45,39,57,24
misdemeanor_offenses,17,VEHICLE AND TRAFFIC LAWS              ,113,92,86,82,65,57,62,56,50,45,63,68,50,61,53,57
misdemeanor_offenses,17,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,270,234,130,160,138,128,151,170,128,138,177,135,159,110,107,153
misdemeanor_offenses,17,CRIMINAL TRESPASS,47,38,42,31,40,40,35,46,31,61,50,43,57,74,67,33
misdemeanor_offenses,17,UNAUTHORIZED USE OF A VEHICLE           ,6,12,14,8,2,6,5,6,7,5,5,6,5,2,5,2
misdemeanor_offenses,17,OFFENSES AGAINST THE PERSON (7)      ,3,3,2,7,9,3,4,7,5,9,5,6,17,22,22,2
misdemeanor_offenses,17,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),50,44,28,61,53,39,61,59,55,46,32,36,49,40,44,32
misdemeanor_offenses,17,ADMINISTRATIVE CODE (6)            ,4,6,4,4,2,3,2,3,1,1,3,2,2,2,1,3
misdemeanor_offenses,17,FRAUDS (3)                    ,96,137,72,77,51,45,39,39,37,33,42,55,41,33,53,53
misdemeanor_offenses,17,AGGRAVATED HARASSMENT 2               ,426,497,391,288,294,317,280,247,261,252,208,188,189,185,100,99
misdemeanor_offenses,17,OTHER MISDEMEANORS (8),230,164,231,174,182,168,76,155,110,150,152,205,163,246,268,214
misdemeanor_offenses,17,TOTAL MISDEMEANOR OFFENSES,2821,2822,2323,2168,2059,2030,1892,2018,1900,1846,1794,1891,2044,2075,1862,1641
misdemeanor_offenses,18,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,18,15,9,13,7,12,19,23,23,36,15,13,28,28,13,26
misdemeanor_offenses,18,MISDEMEANOR SEX CRIMES (4),116,70,82,73,85,53,67,69,49,52,69,58,75,78,66,72
misdemeanor_offenses,18,MISDEMEANOR DANGEROUS DRUGS  (1),1025,616,462,322,265,186,331,417,330,601,747,796,532,463,318,389
misdemeanor_offenses,18,MISDEMEANOR DANGEROUS WEAPONS (5)               ,29,33,35,24,26,21,28,29,60,49,68,46,48,45,38,19
misdemeanor_offenses,18,PETIT LARCENY                         ,2561,2605,2098,1811,1771,1786,1762,1768,1835,1919,1958,1947,2126,2071,2073,1961
misdemeanor_offenses,18,ASSAULT 3 AND RELATED OFFENSES        ,661,645,593,471,521,505,499,510,573,452,527,522,575,619,593,600
misdemeanor_offenses,18,INTOXICATED & IMPAIRED DRIVING              ,39,33,28,34,34,47,66,62,70,75,64,62,58,55,36,28
misdemeanor_offenses,18,VEHICLE AND TRAFFIC LAWS              ,182,134,118,70,89,83,84,67,71,57,74,77,90,96,95,93
misdemeanor_offenses,18,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,383,377,296,249,234,222,227,289,277,226,225,227,234,212,265,249
misdemeanor_offenses,18,CRIMINAL TRESPASS,98,77,61,123,82,96,57,50,57,87,81,86,70,120,207,161
misdemeanor_offenses,18,UNAUTHORIZED USE OF A VEHICLE           ,20,23,16,5,14,18,13,5,15,11,7,9,9,8,14,9
misdemeanor_offenses,18,OFFENSES AGAINST THE PERSON (7)      ,9,9,6,10,16,13,22,11,12,13,14,16,14,24,28,25
misdemeanor_offenses,18,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),114,84,92,113,106,100,116,119,110,137,133,120,111,128,149,127
misdemeanor_offenses,18,ADMINISTRATIVE CODE (6)            ,4,3,8,7,2,7,4,4,3,10,8,15,5,2,9,2
misdemeanor_offenses,18,FRAUDS (3)                    ,251,397,343,284,367,221,239,144,114,147,162,144,94,120,105,103
misdemeanor_offenses,18,AGGRAVATED HARASSMENT 2               ,732,752,643,534,537,505,432,517,461,450,412,366,397,397,219,265
misdemeanor_offenses,18,OTHER MISDEMEANORS (8),989,1054,1060,769,638,521,621,553,525,550,553,505,521,539,935,762
